Country,Make,Model,Year,Review Score,Sales Volume
Germany,Jaguar,XF,2017,2.3,8638
USA,Jaguar,XF,2017,2.1,17116
Germany,Jaguar,XF,2011,1.2,11645
USA,Jaguar,XF,2011,2.0,9441
Germany,Jaguar,XF,2021,4.5,8650
USA,Jaguar,XF,2021,2.3,8860
Germany,Jaguar,XF,2022,4.0,1650
USA,Jaguar,XF,2022,2.4,4353
Germany,Jaguar,XF,2019,3.5,4537
USA,Jaguar,XF,2019,1.9,18084
Germany,Jaguar,XF,2020,1.2,7542
USA,Jaguar,XF,2020,4.3,10984
Germany,Jaguar,XF,2012,3.0,16560
USA,Jaguar,XF,2012,4.1,4416
Germany,Jaguar,XF,2014,4.1,10719
USA,Jaguar,XF,2014,2.9,2069
Germany,Jaguar,XF,2016,2.9,9519
USA,Jaguar,XF,2016,2.1,7227
Germany,Jaguar,XF,2018,2.6,16595
USA,Jaguar,XF,2018,2.9,4319
Germany,Jaguar,XF,2013,3.5,13570
USA,Jaguar,XF,2013,3.6,1589
Germany,Jaguar,XF,2010,3.6,12970
USA,Jaguar,XF,2010,1.3,15299
Germany,Jaguar,XF,2015,2.1,830
USA,Jaguar,XF,2015,2.0,16954
France,Vauxhall,Grandland X,2017,2.8,8639
Germany,Vauxhall,Grandland X,2017,4.2,6003
USA,Vauxhall,Grandland X,2017,3.7,8446
France,Vauxhall,Grandland X,2011,4.1,15470
Germany,Vauxhall,Grandland X,2011,4.7,17357
USA,Vauxhall,Grandland X,2011,1.5,11922
France,Vauxhall,Grandland X,2021,2.0,4723
Germany,Vauxhall,Grandland X,2021,2.5,11220
USA,Vauxhall,Grandland X,2021,1.7,6165
France,Vauxhall,Grandland X,2022,3.5,2821
Germany,Vauxhall,Grandland X,2022,3.7,3390
USA,Vauxhall,Grandland X,2022,1.1,10181
France,Vauxhall,Grandland X,2019,4.8,16675
Germany,Vauxhall,Grandland X,2019,3.5,17850
USA,Vauxhall,Grandland X,2019,2.3,12135
France,Vauxhall,Grandland X,2020,4.5,18212
Germany,Vauxhall,Grandland X,2020,2.7,12927
USA,Vauxhall,Grandland X,2020,1.7,12888
France,Vauxhall,Grandland X,2012,2.0,9314
Germany,Vauxhall,Grandland X,2012,2.3,8455
USA,Vauxhall,Grandland X,2012,1.9,16978
France,Vauxhall,Grandland X,2014,1.9,6943
Germany,Vauxhall,Grandland X,2014,3.1,16647
USA,Vauxhall,Grandland X,2014,2.6,5655
France,Vauxhall,Grandland X,2016,3.0,17396
Germany,Vauxhall,Grandland X,2016,2.7,17149
USA,Vauxhall,Grandland X,2016,4.8,16037
France,Vauxhall,Grandland X,2018,2.1,14747
Germany,Vauxhall,Grandland X,2018,2.3,1625
